crop,country,year,clp_export_quantity,clp_export_value,clp_import_quantity,clp_import_value
Abaca,World,2010,12279,13692,11161,14231
Abaca,World,2011,10525,13444,10801,16439
Abaca,World,2012,10108,5580,6161,10209
Abaca,World,2013,6070,9021,7974,12493
Adlay,World,2010,NA,NA,NA,NA
Adlay,World,2011,NA,NA,NA,NA
Adlay,World,2012,NA,NA,NA,NA
Adlay,World,2013,NA,NA,NA,NA
Adzuki bean,World,2010,4178460,3905076,3595456,3694939
Adzuki bean,World,2011,4856496,4842092,3851850,4108479
Adzuki bean,World,2012,4787454,4953739,4011952,4304353
Adzuki bean,World,2013,4556765,4657864,4071808,4484651
Agave,World,2010,NA,NA,NA,NA
Agave,World,2011,NA,NA,NA,NA
Agave,World,2012,NA,NA,NA,NA
Agave,World,2013,NA,NA,NA,NA
Albardine,World,2010,NA,NA,NA,NA
Albardine,World,2011,NA,NA,NA,NA
Albardine,World,2012,NA,NA,NA,NA
Albardine,World,2013,NA,NA,NA,NA
Alfalfa,World,2010,1307714,326427,1391220,386515
Alfalfa,World,2011,1359116,339904,1493263,391822
Alfalfa,World,2012,1693467,470072,1752045,512463
Alfalfa,World,2013,1248773,350993,1327136,395460
Allspice,World,2010,3162387,5167389,3150865,5445416
Allspice,World,2011,3325048,5703570,3239532,5891003
Allspice,World,2012,3569815,5764959,3474033,5845819
Allspice,World,2013,3584091,6190515,3490853,6323382
Almonds,World,2010,559444,2628845,524394,2468098
Almonds,World,2011,627818,3066105,575939,2854492
Almonds,World,2012,657281,3564454,623293,3343982
Almonds,World,2013,687715,4669085,620935,4245830
Amaranth,World,2010,NA,NA,NA,NA
Amaranth,World,2011,NA,NA,NA,NA
Amaranth,World,2012,NA,NA,NA,NA
Amaranth,World,2013,NA,NA,NA,NA
Anise,World,2010,264610,510640,287213,493850
Anise,World,2011,295131,598896,307764,607009
Anise,World,2012,317335,571680,333008,607900
Anise,World,2013,394543,742271,406832,764959
Apple,World,2010,8594174,6479142,8302899,6668145
Apple,World,2011,8262926,7149600,8095873,7182225
Apple,World,2012,8280054,7182023,8386623,7504849
Apple,World,2013,8584796,8028152,8613231,8476782
Apricot,World,2010,373531,815358,362959,836224
Apricot,World,2011,389398,856684,396574,888738
Apricot,World,2012,473510,834068,483762,860904
Apricot,World,2013,505747,943760,502358,971152
Areca nuts,World,2010,262461,1178755,433559,1534219
Areca nuts,World,2011,307097,1490357,430906,1846159
Areca nuts,World,2012,349900,1618078,458584,2030043
Areca nuts,World,2013,310183,1603948,392896,2007377
Arracacha,World,2010,137478,101979,150870,157835
Arracacha,World,2011,157844,110144,161930,178870
Arracacha,World,2012,188810,148987,141226,154375
Arracacha,World,2013,161957,146925,148880,180834
Arrhenatherum,World,2010,NA,NA,NA,NA
Arrhenatherum,World,2011,NA,NA,NA,NA
Arrhenatherum,World,2012,NA,NA,NA,NA
Arrhenatherum,World,2013,NA,NA,NA,NA
Arrowroot,World,2010,137478,101979,150870,157835
Arrowroot,World,2011,157844,110144,161930,178870
Arrowroot,World,2012,188810,148987,141226,154375
Arrowroot,World,2013,161957,146925,148880,180834
Artichokes,World,2010,38262,58197,36992,58205
Artichokes,World,2011,34195,61784,32436,51880
Artichokes,World,2012,38487,57970,50349,71484
Artichokes,World,2013,45688,73240,61161,87935
Asparagus,World,2010,310837,904646,322330,1121898
Asparagus,World,2011,320764,949384,330404,1189328
Asparagus,World,2012,353746,1039414,350344,1165339
Asparagus,World,2013,330537,1148581,336163,1423283
Atemoya,World,2010,580010,353614,762573,644135
Atemoya,World,2011,646342,399423,811232,755461
Atemoya,World,2012,820875,525894,925943,995019
Atemoya,World,2013,841345,584348,976575,1180320
Avocado,World,2010,829565,1466360,902790,1697254
Avocado,World,2011,851891,1971227,950232,2214307
Avocado,World,2012,1052904,1971669,1127815,2172802
Avocado,World,2013,1216993,2479194,1283314,2776159
Azarole,World,2010,1948145,1651048,1984150,1889942
Azarole,World,2011,2396751,2119691,2444537,2452088
Azarole,World,2012,2385596,2161214,2463747,2604108
Azarole,World,2013,2379246,2326015,2523807,2858010
Babaco,World,2010,1948145,1651048,1984150,1889942
Babaco,World,2011,2396751,2119691,2444537,2452088
Babaco,World,2012,2385596,2161214,2463747,2604108
Babaco,World,2013,2379246,2326015,2523807,2858010
Badian,World,2010,264610,510640,287213,493850
Badian,World,2011,295131,598896,307764,607009
Badian,World,2012,317335,571680,333008,607900
Badian,World,2013,394543,742271,406832,764959
Bambara bean,World,2010,NA,NA,NA,NA
Bambara bean,World,2011,NA,NA,NA,NA
Bambara bean,World,2012,1541,1403,2642,6761
Bambara bean,World,2013,1727,2036,750,963
Bamboo shoot,World,2010,3251236,3268037,2399248,2480279
Bamboo shoot,World,2011,3375853,3295271,2608363,2709243
Bamboo shoot,World,2012,3002047,3004214,2451482,2586994
Bamboo shoot,World,2013,2883011,3301102,2625756,3170254
Bananas,World,2010,17490865,8098393,17933961,11713905
Bananas,World,2011,18719902,8853166,18720741,13080942
Bananas,World,2012,19099109,8629565,18313664,12477861
Bananas,World,2013,20098072,9688828,19664242,13922500
Barley,World,2010,38169910,15801921,36389270,16380850
Barley,World,2011,38004029,18996167,36370039,19174218
Barley,World,2012,42502967,20669168,40425588,20747422
Barley,World,2013,45098961,22024522,43112619,22507109
Bay leaf,World,2010,379108,1301953,325132,1186048
Bay leaf,World,2011,414880,1450140,365788,1356446
Bay leaf,World,2012,455369,1486093,374363,1245973
Bay leaf,World,2013,493790,1858878,380536,1326976
Beech nut,World,2010,421025,363968,455710,558018
Beech nut,World,2011,660991,413367,481585,594953
Beech nut,World,2012,561933,463546,382163,545902
Beech nut,World,2013,683806,650727,416629,749535
Beets,World,2010,2768708,387974,2758557,471225
Beets,World,2011,2686773,509204,2759775,621646
Beets,World,2012,3197464,635486,3333541,779056
Beets,World,2013,3069126,700498,2918281,782017
Black gram,World,2010,4178460,3905076,3595456,3694939
Black gram,World,2011,4856496,4842092,3851850,4108479
Black gram,World,2012,4787454,4953739,4011952,4304353
Black gram,World,2013,4556765,4657864,4071808,4484651
Black salsify,World,2010,3251236,3268037,2399248,2480279
Black salsify,World,2011,3375853,3295271,2608363,2709243
Black salsify,World,2012,3002047,3004214,2451482,2586994
Black salsify,World,2013,2883011,3301102,2625756,3170254
Blueberry,World,2010,83527,370846,113186,557310
Blueberry,World,2011,91293,450108,127362,639798
Blueberry,World,2012,109298,567786,136696,638926
Blueberry,World,2013,118937,616126,156914,791053
Brazil nut,World,2010,30352,153144,35332,176799
Brazil nut,World,2011,32377,242347,29903,232448
Brazil nut,World,2012,30158,213017,27670,207855
Brazil nut,World,2013,32514,214328,32211,215440
Breadfruit,World,2010,580010,353614,762573,644135
Breadfruit,World,2011,646342,399423,811232,755461
Breadfruit,World,2012,820875,525894,925943,995019
Breadfruit,World,2013,841345,584348,976575,1180320
Buckwheat,World,2010,124723,80254,180653,117415
Buckwheat,World,2011,123868,108846,170671,152951
Buckwheat,World,2012,119979,67111,164108,111861
Buckwheat,World,2013,145584,70537,159523,99922
Butter-nut,World,2010,262461,1178755,433559,1534219
Butter-nut,World,2011,307097,1490357,430906,1846159
Butter-nut,World,2012,349900,1618078,458584,2030043
Butter-nut,World,2013,310183,1603948,392896,2007377
Butternut squash,World,2010,568796,600190,892312,967026
Butternut squash,World,2011,599923,526115,938910,884763
Butternut squash,World,2012,804707,785720,1158646,1180261
Butternut squash,World,2013,1179516,1256161,1210850,1292064
Cabbages,World,2010,2848071,2170860,2884680,2153507
Cabbages,World,2011,3145789,2393629,3222171,2353169
Cabbages,World,2012,3060892,2219668,3338404,2362900
Cabbages,World,2013,3207991,2575998,3490137,2777169
Cabbages and other brassicas,World,2010,2848071,2170860,2884680,2153507
Cabbages and other brassicas,World,2011,3145789,2393629,3222171,2353169
Cabbages and other brassicas,World,2012,3060892,2219668,3338404,2362900
Cabbages and other brassicas,World,2013,3207991,2575998,3490137,2777169
Caesarweed,World,2010,NA,NA,NA,NA
Caesarweed,World,2011,NA,NA,NA,NA
Caesarweed,World,2012,NA,NA,NA,NA
Caesarweed,World,2013,NA,NA,NA,NA
Cainito,World,2010,580010,353614,762573,644135
Cainito,World,2011,646342,399423,811232,755461
Cainito,World,2012,820875,525894,925943,995019
Cainito,World,2013,841345,584348,976575,1180320
Calabash,World,2010,568796,600190,892312,967026
Calabash,World,2011,599923,526115,938910,884763
Calabash,World,2012,804707,785720,1158646,1180261
Calabash,World,2013,1179516,1256161,1210850,1292064
Canary seed,World,2010,213740,122061,206665,124119
Canary seed,World,2011,230223,174510,214706,160375
Canary seed,World,2012,179668,134293,190439,146116
Canary seed,World,2013,210688,159935,223303,168145
Candlenut,World,2010,421025,363968,455710,558018
Candlenut,World,2011,660991,413367,481585,594953
Candlenut,World,2012,561933,463546,382163,545902
Candlenut,World,2013,683806,650727,416629,749535
Canola,World,2010,2848071,2170860,2884680,2153507
Canola,World,2011,3145789,2393629,3222171,2353169
Canola,World,2012,3060892,2219668,3338404,2362900
Canola,World,2013,3207991,2575998,3490137,2777169
Capers,World,2010,3251236,3268037,2399248,2480279
Capers,World,2011,3375853,3295271,2608363,2709243
Capers,World,2012,3002047,3004214,2451482,2586994
Capers,World,2013,2883011,3301102,2625756,3170254
Carambola,World,2010,580010,353614,762573,644135
Carambola,World,2011,646342,399423,811232,755461
Carambola,World,2012,820875,525894,925943,995019
Carambola,World,2013,841345,584348,976575,1180320
Carapa,World,2010,421025,363968,455710,558018
Carapa,World,2011,660991,413367,481585,594953
Carapa,World,2012,561933,463546,382163,545902
Carapa,World,2013,683806,650727,416629,749535
Cardamoms,World,2010,66312,628118,60659,633089
Cardamoms,World,2011,69945,742976,67051,828925
Cardamoms,World,2012,84199,719351,75902,744627
Cardamoms,World,2013,87083,663201,80334,680181
Carneros Yucca,World,2010,NA,NA,NA,NA
Carneros Yucca,World,2011,NA,NA,NA,NA
Carneros Yucca,World,2012,NA,NA,NA,NA
Carneros Yucca,World,2013,NA,NA,NA,NA
Caroa,World,2010,NA,NA,NA,NA
Caroa,World,2011,NA,NA,NA,NA
Caroa,World,2012,NA,NA,NA,NA
Caroa,World,2013,NA,NA,NA,NA
Carobs,World,2010,NA,NA,NA,NA
Carobs,World,2011,NA,NA,NA,NA
Carobs,World,2012,NA,NA,NA,NA
Carobs,World,2013,NA,NA,NA,NA
Carrots,World,2010,2171953,959892,2029250,952662
Carrots,World,2011,2301932,1110407,2227002,1114323
Carrots,World,2012,2273590,1102940,2179163,1089379
Carrots,World,2013,2371111,1220152,2351989,1250679
Cashews,World,2010,1084720,2757156,833195,2565198
Cashews,World,2011,1414808,4157421,1203393,3874087
Cashews,World,2012,1510343,4250612,1577818,3883074
Cashews,World,2013,1764870,3827430,1636109,3910892
Cassava,World,2010,32201849,4083271,34366256,4577657
Cassava,World,2011,34599699,5424299,34974213,5808587
Cassava,World,2012,43566767,6063290,48361293,6983395
Cassava,World,2013,45695005,6529345,47016697,7070645
Castor bean,World,2010,504418,712909,511767,784600
Castor bean,World,2011,491250,1038288,468435,1063463
Castor bean,World,2012,580779,853511,562932,886402
Castor bean,World,2013,707304,910057,581980,855910
Ceara,World,2010,NA,NA,NA,NA
Ceara,World,2011,NA,NA,NA,NA
Ceara,World,2012,NA,NA,NA,NA
Ceara,World,2013,NA,NA,NA,NA
Celery,World,2010,3251236,3268037,2399248,2480279
Celery,World,2011,3375853,3295271,2608363,2709243
Celery,World,2012,3002047,3004214,2451482,2586994
Celery,World,2013,2883011,3301102,2625756,3170254
Cherimoya,World,2010,580010,353614,762573,644135
Cherimoya,World,2011,646342,399423,811232,755461
Cherimoya,World,2012,820875,525894,925943,995019
Cherimoya,World,2013,841345,584348,976575,1180320
Cherries,World,2010,354376,1303627,350514,1280738
Cherries,World,2011,419365,1595241,413663,1617897
Cherries,World,2012,452124,1766940,440648,1851212
Cherries,World,2013,431987,1668436,442023,1745968
Chervil,World,2010,3251236,3268037,2399248,2480279
Chervil,World,2011,3375853,3295271,2608363,2709243
Chervil,World,2012,3002047,3004214,2451482,2586994
Chervil,World,2013,2883011,3301102,2625756,3170254
Chestnuts,World,2010,101680,258860,99798,234698
Chestnuts,World,2011,96738,266131,97130,261366
Chestnuts,World,2012,105971,331860,103408,317373
Chestnuts,World,2013,125094,383442,124397,361137
Chickpeas,World,2010,1188103,822489,1031403,751887
Chickpeas,World,2011,1159115,963827,1116913,978824
Chickpeas,World,2012,1904095,1540164,1454960,1328122
Chickpeas,World,2013,1629915,1152295,1614124,1282766
Chicle,World,2010,NA,NA,NA,NA
Chicle,World,2011,NA,NA,NA,NA
Chicle,World,2012,NA,NA,NA,NA
Chicle,World,2013,NA,NA,NA,NA
Chicory,World,2010,1774506,2280488,1793623,2374063
Chicory,World,2011,1821552,2148219,1882694,2335458
Chicory,World,2012,1967602,2346971,1930007,2498750
Chicory,World,2013,2068512,2484425,2028689,2709601
Chillies and peppers,World,2010,3162387,5167389,3150865,5445416
Chillies and peppers,World,2011,3325048,5703570,3239532,5891003
Chillies and peppers,World,2012,3569815,5764959,3474033,5845819
Chillies and peppers,World,2013,3584091,6190515,3490853,6323382
Chinotto,World,2010,1245167,964880,1176664,1051608
Chinotto,World,2011,1215392,973326,1172308,1105820
Chinotto,World,2012,1175953,922962,1186400,1118192
Chinotto,World,2013,1238782,966861,1286199,1180268
Chontadura,World,2010,421025,363968,455710,558018
Chontadura,World,2011,660991,413367,481585,594953
Chontadura,World,2012,561933,463546,382163,545902
Chontadura,World,2013,683806,650727,416629,749535
Chufa,World,2010,137478,101979,150870,157835
Chufa,World,2011,157844,110144,161930,178870
Chufa,World,2012,188810,148987,141226,154375
Chufa,World,2013,161957,146925,148880,180834
Cinnamon,World,2010,123952,234677,125631,240685
Cinnamon,World,2011,133350,322690,141780,318724
Cinnamon,World,2012,116878,312345,118887,298284
Cinnamon,World,2013,149687,365902,142594,356506
Citron,World,2010,1245167,964880,1176664,1051608
Citron,World,2011,1215392,973326,1172308,1105820
Citron,World,2012,1175953,922962,1186400,1118192
Citron,World,2013,1238782,966861,1286199,1180268
Citronella,World,2010,142,12727,483,18374
Citronella,World,2011,73,11348,355,15612
Citronella,World,2012,1367,48458,1292,63061
Citronella,World,2013,432,28126,1341,69891
Cloves,World,2010,43609,165345,33550,129026
Cloves,World,2011,55268,388062,66208,712707
Cloves,World,2012,50351,424423,53570,489057
Cloves,World,2013,42613,358601,41734,338660
Cocoa,World,2010,9223676,37203437,9377235,38415211
Cocoa,World,2011,10405120,42613949,10349125,44053847
Cocoa,World,2012,10190948,39594390,10332509,40608277
Cocoa,World,2013,10306244,41025486,10748892,42211732
Coconuts,World,2010,4304431,3072054,4564145,3293580
Coconuts,World,2011,3591651,4466069,3794585,5008023
Coconuts,World,2012,4024639,3720473,3957761,3967724
Coconuts,World,2013,4340287,3199051,4130204,3312559
Coffee,World,2010,15593294,53525164,14842477,53151020
Coffee,World,2011,16053975,78421242,15353569,79504270
Coffee,World,2012,16975974,73005842,15794582,73483272
Coffee,World,2013,16702975,63741831,15985985,64337072
Common bean,World,2010,4178460,3905076,3595456,3694939
Common bean,World,2011,4856496,4842092,3851850,4108479
Common bean,World,2012,4787454,4953739,4011952,4304353
Common bean,World,2013,4556765,4657864,4071808,4484651
Coriander,World,2010,264610,510640,287213,493850
Coriander,World,2011,295131,598896,307764,607009
Coriander,World,2012,317335,571680,333008,607900
Coriander,World,2013,394543,742271,406832,764959
Cotton,World,2010,10102527,15792134,10021107,16413487
Cotton,World,2011,10882873,22822089,10356474,25230891
Cotton,World,2012,13051861,22046074,12761012,23940252
Cotton,World,2013,12927334,20798476,12259559,21041649
Cowpeas,World,2010,NA,NA,NA,NA
Cowpeas,World,2011,NA,NA,NA,NA
Cowpeas,World,2012,NA,NA,NA,NA
Cowpeas,World,2013,NA,NA,NA,NA
Cranberries,World,2010,106747,446914,82185,310043
Cranberries,World,2011,125503,520392,96994,412632
Cranberries,World,2012,144170,555990,122117,491523
Cranberries,World,2013,160215,626700,135258,562044
Cress,World,2010,3251236,3268037,2399248,2480279
Cress,World,2011,3375853,3295271,2608363,2709243
Cress,World,2012,3002047,3004214,2451482,2586994
Cress,World,2013,2883011,3301102,2625756,3170254
Cucumbers and gherkins,World,2010,2320935,2049820,2388444,2223302
Cucumbers and gherkins,World,2011,2428729,2028932,2325189,2080137
Cucumbers and gherkins,World,2012,2327897,2141337,2392303,2249573
Cucumbers and gherkins,World,2013,2431875,2384087,2454036,2557353
Cumin,World,2010,264610,510640,287213,493850
Cumin,World,2011,295131,598896,307764,607009
Cumin,World,2012,317335,571680,333008,607900
Cumin,World,2013,394543,742271,406832,764959
Currants,World,2010,15453,34222,18291,34127
Currants,World,2011,15217,43054,21468,48934
Currants,World,2012,17347,37042,20374,41380
Currants,World,2013,12689,32946,22780,47752
Cushaw,World,2010,568796,600190,892312,967026
Cushaw,World,2011,599923,526115,938910,884763
Cushaw,World,2012,804707,785720,1158646,1180261
Cushaw,World,2013,1179516,1256161,1210850,1292064
Custard apple,World,2010,580010,353614,762573,644135
Custard apple,World,2011,646342,399423,811232,755461
Custard apple,World,2012,820875,525894,925943,995019
Custard apple,World,2013,841345,584348,976575,1180320
Dates,World,2010,666697,775964,612273,733721
Dates,World,2011,710384,902189,722310,834384
Dates,World,2012,764529,875561,689734,787449
Dates,World,2013,825271,993102,799678,946399
Devil's cotton,World,2010,NA,NA,NA,NA
Devil's cotton,World,2011,NA,NA,NA,NA
Devil's cotton,World,2012,NA,NA,NA,NA
Devil's cotton,World,2013,NA,NA,NA,NA
Dill,World,2010,379108,1301953,325132,1186048
Dill,World,2011,414880,1450140,365788,1356446
Dill,World,2012,455369,1486093,374363,1245973
Dill,World,2013,493790,1858878,380536,1326976
Durian,World,2010,580010,353614,762573,644135
Durian,World,2011,646342,399423,811232,755461
Durian,World,2012,820875,525894,925943,995019
Durian,World,2013,841345,584348,976575,1180320
Eggplant,World,2010,457648,449062,426419,453228
Eggplant,World,2011,439219,467951,389268,472090
Eggplant,World,2012,439962,455736,412974,476483
Eggplant,World,2013,419608,501695,417575,541049
Elderberry,World,2010,1948145,1651048,1984150,1889942
Elderberry,World,2011,2396751,2119691,2444537,2452088
Elderberry,World,2012,2385596,2161214,2463747,2604108
Elderberry,World,2013,2379246,2326015,2523807,2858010
Esparto,World,2010,NA,NA,NA,NA
Esparto,World,2011,NA,NA,NA,NA
Esparto,World,2012,NA,NA,NA,NA
Esparto,World,2013,NA,NA,NA,NA
Ethiopian rape,World,2010,2848071,2170860,2884680,2153507
Ethiopian rape,World,2011,3145789,2393629,3222171,2353169
Ethiopian rape,World,2012,3060892,2219668,3338404,2362900
Ethiopian rape,World,2013,3207991,2575998,3490137,2777169
Faba beans,World,2010,754330,285642,773829,325851
Faba beans,World,2011,798800,394435,588129,466849
Faba beans,World,2012,802900,420692,518281,464137
Faba beans,World,2013,737683,424057,563258,481688
Feijoa,World,2010,580010,353614,762573,644135
Feijoa,World,2011,646342,399423,811232,755461
Feijoa,World,2012,820875,525894,925943,995019
Feijoa,World,2013,841345,584348,976575,1180320
Fennel,World,2010,264610,510640,287213,493850
Fennel,World,2011,295131,598896,307764,607009
Fennel,World,2012,317335,571680,333008,607900
Fennel,World,2013,394543,742271,406832,764959
Fenugreek,World,2010,379108,1301953,325132,1186048
Fenugreek,World,2011,414880,1450140,365788,1356446
Fenugreek,World,2012,455369,1486093,374363,1245973
Fenugreek,World,2013,493790,1858878,380536,1326976
Fig leaf gourd,World,2010,568796,600190,892312,967026
Fig leaf gourd,World,2011,599923,526115,938910,884763
Fig leaf gourd,World,2012,804707,785720,1158646,1180261
Fig leaf gourd,World,2013,1179516,1256161,1210850,1292064
Figs,World,2010,110208,349754,108156,376117
Figs,World,2011,108935,356482,111025,398872
Figs,World,2012,114168,372566,112551,379662
Figs,World,2013,132678,433776,137888,483117
Finger millet,World,2010,382999,125300,404750,151767
Finger millet,World,2011,384395,145625,335675,151255
Finger millet,World,2012,368144,129610,343168,146524
Finger millet,World,2013,280492,117230,348129,170993
Fique,World,2010,NA,NA,NA,NA
Fique,World,2011,NA,NA,NA,NA
Fique,World,2012,NA,NA,NA,NA
Fique,World,2013,NA,NA,NA,NA
Flax,World,2010,2390474,1832241,2384228,1919234
Flax,World,2011,2073033,2042217,2168816,2387930
Flax,World,2012,2476514,2201971,2376975,2168921
Flax,World,2013,2496087,2382672,2365322,2445911
Fonio,World,2010,NA,NA,NA,NA
Fonio,World,2011,NA,NA,NA,NA
Fonio,World,2012,1020,1772,3617,5862
Fonio,World,2013,730,2978,1809,2925
Foxtail millet,World,2010,382999,125300,404750,151767
Foxtail millet,World,2011,384395,145625,335675,151255
Foxtail millet,World,2012,368144,129610,343168,146524
Foxtail millet,World,2013,280492,117230,348129,170993
Garlic,World,2010,1675937,3040428,1657287,2325210
Garlic,World,2011,1975097,2834921,1848279,2355483
Garlic,World,2012,1755649,1989889,1640119,1819741
Garlic,World,2013,1970505,2040452,1830644,2119036
Giant cabuya,World,2010,NA,NA,NA,NA
Giant cabuya,World,2011,NA,NA,NA,NA
Giant cabuya,World,2012,NA,NA,NA,NA
Giant cabuya,World,2013,NA,NA,NA,NA
Ginger,World,2010,460852,624352,457238,578982
Ginger,World,2011,547984,643374,552792,687219
Ginger,World,2012,646129,469403,647902,538751
Ginger,World,2013,602653,666777,618927,732911
Gooseberries,World,2010,155,1179,457,1853
Gooseberries,World,2011,215,2435,324,2568
Gooseberries,World,2012,1014,3763,218,2735
Gooseberries,World,2013,876,3673,841,3976
Grapefruits,World,2010,1464634,1186904,1419775,1330057
Grapefruits,World,2011,1434436,1237314,1403005,1428319
Grapefruits,World,2012,1397898,1207782,1389187,1447731
Grapefruits,World,2013,1408233,1224343,1454888,1492358
Grapes,World,2010,25462758,64965604,23943489,66486204
Grapes,World,2011,27060685,75104744,26045781,77425985
Grapes,World,2012,26853632,76384261,26399023,78506099
Grapes,World,2013,26785301,80938420,26144469,82749440
Grasspea,World,2010,NA,NA,NA,NA
Grasspea,World,2011,NA,NA,NA,NA
Grasspea,World,2012,NA,NA,NA,NA
Grasspea,World,2013,NA,NA,NA,NA
Groundnuts,World,2010,3097994,3442829,3851331,4295475
Groundnuts,World,2011,3894412,5373409,4056946,5584027
Groundnuts,World,2012,3772710,5972295,3824979,6637845
Groundnuts,World,2013,3879969,5382991,4017861,6163609
Guavas,World,2010,1349464,1156038,1018569,1172802
Guavas,World,2011,1438886,1371521,1098288,1334864
Guavas,World,2012,1483611,1464013,1116492,1359168
Guavas,World,2013,1648185,1689744,1189101,1652571
Guayule,World,2010,NA,NA,NA,NA
Guayule,World,2011,NA,NA,NA,NA
Guayule,World,2012,NA,NA,NA,NA
Guayule,World,2013,NA,NA,NA,NA
Gutta-percha,World,2010,NA,NA,NA,NA
Gutta-percha,World,2011,NA,NA,NA,NA
Gutta-percha,World,2012,NA,NA,NA,NA
Gutta-percha,World,2013,NA,NA,NA,NA
Hazelnuts,World,2010,197049,1160973,216720,1357000
Hazelnuts,World,2011,209535,1450334,213266,1462907
Hazelnuts,World,2012,217726,1416000,205642,1427811
Hazelnuts,World,2013,236967,1479261,238248,1592352
Hemp,World,2010,NA,NA,NA,NA
Hemp,World,2011,NA,NA,NA,NA
Hemp,World,2012,NA,NA,NA,NA
Hemp,World,2013,NA,NA,NA,NA
Hops,World,2010,41044,327201,40645,337849
Hops,World,2011,36489,333923,40941,339851
Hops,World,2012,38827,305071,42267,324922
Hops,World,2013,38126,324865,43244,344398
Horseradish,World,2010,3251236,3268037,2399248,2480279
Horseradish,World,2011,3375853,3295271,2608363,2709243
Horseradish,World,2012,3002047,3004214,2451482,2586994
Horseradish,World,2013,2883011,3301102,2625756,3170254
Huckleberry,World,2010,NA,NA,NA,NA
Huckleberry,World,2011,NA,NA,NA,NA
Huckleberry,World,2012,NA,NA,NA,NA
Huckleberry,World,2013,NA,NA,NA,NA
Jack bean,World,2010,NA,NA,NA,NA
Jack bean,World,2011,NA,NA,NA,NA
Jack bean,World,2012,NA,NA,NA,NA
Jack bean,World,2013,NA,NA,NA,NA
Jackfruit,World,2010,580010,353614,762573,644135
Jackfruit,World,2011,646342,399423,811232,755461
Jackfruit,World,2012,820875,525894,925943,995019
Jackfruit,World,2013,841345,584348,976575,1180320
Japanese millet,World,2010,382999,125300,404750,151767
Japanese millet,World,2011,384395,145625,335675,151255
Japanese millet,World,2012,368144,129610,343168,146524
Japanese millet,World,2013,280492,117230,348129,170993
Jelutong,World,2010,NA,NA,NA,NA
Jelutong,World,2011,NA,NA,NA,NA
Jelutong,World,2012,NA,NA,NA,NA
Jelutong,World,2013,NA,NA,NA,NA
Jerusalem artichoke,World,2010,137478,101979,150870,157835
Jerusalem artichoke,World,2011,157844,110144,161930,178870
Jerusalem artichoke,World,2012,188810,148987,141226,154375
Jerusalem artichoke,World,2013,161957,146925,148880,180834
Jicama,World,2010,NA,NA,NA,NA
Jicama,World,2011,NA,NA,NA,NA
Jicama,World,2012,NA,NA,NA,NA
Jicama,World,2013,NA,NA,NA,NA
Jojoba,World,2010,NA,NA,NA,NA
Jojoba,World,2011,NA,NA,NA,NA
Jojoba,World,2012,NA,NA,NA,NA
Jojoba,World,2013,NA,NA,NA,NA
Jujube,World,2010,1948145,1651048,1984150,1889942
Jujube,World,2011,2396751,2119691,2444537,2452088
Jujube,World,2012,2385596,2161214,2463747,2604108
Jujube,World,2013,2379246,2326015,2523807,2858010
Jute,World,2010,751211,522361,764776,570256
Jute,World,2011,942512,581472,975958,684180
