crop,country,year,genus_accessions_primaryregion,species_accessions_primaryregion
Abaca,World,2019,0.006589941,2.16774E-05
Acerola,World,2019,0,0
Achira,World,2019,0,0
Ackee,World,2019,0,0
Adlay,World,2019,0.000737619,0.000737619
Adzuki bean,World,2019,0.002077613,0.000287651
Aeschynomene,World,2019,0,0
African eggplant,World,2019,0,0
Rice (African),World,2019,0.000671179,0.000143581
Agave,World,2019,0.003955926,0.000232702
Agropyron,World,2019,0,0
Agrostis,World,2019,0,0
Ahipa,World,2019,0,0
Albardine,World,2019,0,0
Alfalfa,World,2019,0,0
Allspice,World,2019,1.03543E-05,1.03543E-05
Almonds,World,2019,0.007335629,0.000710831
Alopecurus,World,2019,0,0
Alysicarpus,World,2019,0,0
Amaranth,World,2019,0.972092938,0.322327474
Andropogon,World,2019,0,0
Anise,World,2019,0.000846213,0.000423107
Annato,World,2019,0,0
Apple,World,2019,0.004572886,0.002785657
Apricot,World,2019,0.011175969,0.001897935
Areca nuts,World,2019,6.92883E-06,4.61922E-06
Arracacha,World,2019,0.085395911,0.084979345
Arrhenatherum,World,2019,0.013068439,0.012778408
Arrowroot,World,2019,0.0007495,0.000499667
Artichokes,World,2019,0.002483558,0.00168241
Rice (Asian),World,2019,0.000525512,0.000510614
Asparagus,World,2019,0.007677281,0.004794036
Astragalus,World,2019,0,0
Atemoya,World,2019,0.086033761,0
Atriplex,World,2019,0,0
Avocado,World,2019,0.001850931,0.001761813
Azarole,World,2019,0.014474899,0.002364711
Babaco,World,2019,0.012752173,0.000115929
Badian,World,2019,0.000185843,0
Bambara bean,World,2019,0,0
Bamboo shoot,World,2019,6.69394E-05,1.67348E-06
Bananas,World,2019,0.001007594,0.000303504
Barley,World,2019,0.003901552,0.002658682
Basil,World,2019,0,0
Bay leaf,World,2019,0.00104918,0.000874317
Beech nut,World,2019,0.002621625,0.001890009
Beets,World,2019,0.184951428,0.134114511
Black gram,World,2019,0.002137973,0.000278034
Black nightshade,World,2019,0,0
Black salsify,World,2019,0.002289958,0.000141355
Blueberry,World,2019,0.020224911,0.005632066
Brachiaria,World,2019,0,0
Brazil nut,World,2019,0.00122807,0.00122807
Breadfruit,World,2019,0.006641709,0.003795262
Buckwheat,World,2019,0.000354022,0.000331051
Butter-nut,World,2019,6.96248E-05,0
Butternut squash,World,2019,0.093847835,0.052720976
Cabbages and other brassicas,World,2019,0.004705797,0.004217533
Cabbages,World,2019,0.004705797,0.001954619
Caesarweed,World,2019,0.000561345,0.000561345
Cainito,World,2019,0.007431067,0.002477022
Calabash,World,2019,0.033758375,0.032331965
Calopogonium,World,2019,0,0
Canary seed,World,2019,4.49745158,0.513761468
Candlenut,World,2019,7.36879E-05,7.36879E-05
Canola,World,2019,0.033165318,0.003269337
Capers,World,2019,0.0174998,0.016849565
Carambola,World,2019,0.000591973,0.000441078
Carapa,World,2019,0,0
Caraway,World,2019,0,0
Cardamoms,World,2019,0.000550715,0.000258918
Carneros Yucca,World,2019,0,0
Caroa,World,2019,0,0
Carobs,World,2019,0.001313408,0.001313408
Carrots,World,2019,0.011542742,0.009132978
Cashews,World,2019,0.00046776,0.0004421
Cassava,World,2019,0.004684632,0.004326477
Castor bean,World,2019,0.003170894,0.003164192
Ceara,World,2019,0,0
Celery,World,2019,0.01306124,0.011958668
Centrosema,World,2019,0,0
Ceylon-spinach,World,2019,0,0
