crop,country,year,common_name,genus,taxon
Maize,World,2019,34300,16400,16300
Rice (Asian),World,2019,60000,15700,15400
Wheat,World,2019,41700,15000,12700
Soybeans,World,2019,37600,15700,9460
Common bean,World,2019,4700,9870,8220
Physic nut,World,2019,460,11900,7600
Rapeseed and Mustards,World,2019,7000,17500,6940
Grapes,World,2019,15500,9470,6400
Chillies and peppers,World,2019,126,11900,6170
Potatoes,World,2019,23700,16500,6160
Onions,World,2019,9620,12900,4820
Tomatoes,World,2019,29600,16500,4740
Sorghum,World,2019,15800,15800,4550
Cabbages,World,2019,8130,17500,4510
Cabbages and other brassicas,World,2019,8130,17500,4510
Chickpeas,World,2019,8870,4800,4320
Papayas,World,2019,7820,5770,4010
Groundnuts,World,2019,6780,5410,4000
Mango,World,2019,12200,4350,3950
Garlic,World,2019,9180,12900,3830
Peas,World,2019,11100,4490,3810
Cowpeas,World,2019,7300,11300,3800
Barley,World,2019,16100,4600,3790
Cocoa,World,2019,8290,4250,3790
Sunflowers,World,2019,14100,5370,3710
Mung bean,World,2019,1780,11300,3600
Lettuce,World,2019,7890,4470,3570
Cotton,World,2019,25600,5090,3560
Canola,World,2019,6910,17500,3550
Tea,World,2019,29600,6980,3540
Guavas,World,2019,3970,4120,3490
Ginger,World,2019,6720,4490,3440
Pomegranate,World,2019,7160,3710,3250
Alfalfa,World,2019,9260,5870,3230
Cassava,World,2019,13700,4220,3120
Turmeric,World,2019,3610,6360,2990
Cucumbers and gherkins,World,2019,13500,6040,2970
Sweetpotatoes,World,2019,2160,5370,2960
Coffee,World,2019,18000,4870,2940
Faba beans,World,2019,2770,4470,2940
Oil palm,World,2019,17400,3240,2870
Turnips,World,2019,998,17500,2760
Roselle,World,2019,1150,5940,2670
Eggplant,World,2019,3330,16500,2630
Tobacco,World,2019,41600,4900,2620
Okra,World,2019,4790,3180,2610
Basil,World,2019,3840,5830,2600
Sesame,World,2019,6480,2790,2550
"Rubber, natural",World,2019,20400,3020,2440
