crop,country,year,clp_export_quantity,clp_export_value,clp_import_quantity,clp_import_value
Abaca,World,2013,3,3,6,7
Abaca,World,2012,2,2,4,4
Abaca,World,2010,1,2,5,6
Abaca,World,2011,5,5,6,7
Adlay,World,2010,NA,NA,NA,NA
Adlay,World,2011,NA,NA,NA,NA
Adlay,World,2012,NA,NA,NA,NA
Adlay,World,2013,NA,NA,NA,NA
Adzuki bean,World,2010,131,134,176,178
Adzuki bean,World,2011,135,140,178,178
Adzuki bean,World,2012,135,140,178,178
Adzuki bean,World,2013,135,139,182,182
Agave,World,2010,NA,NA,NA,NA
Agave,World,2011,NA,NA,NA,NA
Agave,World,2012,NA,NA,NA,NA
Agave,World,2013,NA,NA,NA,NA
Albardine,World,2010,NA,NA,NA,NA
Albardine,World,2011,NA,NA,NA,NA
Albardine,World,2012,NA,NA,NA,NA
Albardine,World,2013,NA,NA,NA,NA
Alfalfa,World,2010,57,54,104,104
Alfalfa,World,2011,61,62,97,99
Alfalfa,World,2013,55,55,98,100
Alfalfa,World,2012,59,60,102,104
Allspice,World,2010,130,135,163,164
Allspice,World,2011,134,136,166,166
Allspice,World,2012,136,137,172,172
Allspice,World,2013,134,135,171,172
Almonds,World,2010,77,80,143,150
Almonds,World,2011,83,88,143,149
Almonds,World,2012,84,91,147,155
Almonds,World,2013,88,93,151,160
Amaranth,World,2010,NA,NA,NA,NA
Amaranth,World,2011,NA,NA,NA,NA
Amaranth,World,2012,NA,NA,NA,NA
Amaranth,World,2013,NA,NA,NA,NA
Anise,World,2010,94,101,152,162
Anise,World,2011,99,102,154,161
Anise,World,2012,101,107,156,163
Anise,World,2013,101,104,158,165
Apple,World,2010,112,114,192,193
Apple,World,2011,113,112,192,192
Apple,World,2012,112,113,192,192
Apple,World,2013,115,117,190,190
Apricot,World,2010,83,84,139,147
Apricot,World,2011,82,85,138,145
Apricot,World,2012,80,85,140,145
Apricot,World,2013,85,87,137,145
Areca nuts,World,2010,114,118,159,171
Areca nuts,World,2011,108,116,165,174
Areca nuts,World,2012,112,112,164,174
Areca nuts,World,2013,111,114,168,176
Arracacha,World,2010,80,82,103,115
Arracacha,World,2011,84,85,107,117
Arracacha,World,2012,89,95,111,120
Arracacha,World,2013,87,91,117,125
Arrhenatherum,World,2010,NA,NA,NA,NA
Arrhenatherum,World,2011,NA,NA,NA,NA
Arrhenatherum,World,2012,NA,NA,NA,NA
Arrhenatherum,World,2013,NA,NA,NA,NA
Arrowroot,World,2010,80,82,103,115
Arrowroot,World,2011,84,85,107,117
Arrowroot,World,2012,89,95,111,120
Arrowroot,World,2013,87,91,117,125
Artichokes,World,2010,19,21,35,37
Artichokes,World,2011,23,24,36,37
Artichokes,World,2012,42,44,68,68
Artichokes,World,2013,46,47,82,86
Asparagus,World,2010,57,62,108,113
Asparagus,World,2011,64,65,110,117
Asparagus,World,2012,60,62,120,123
Asparagus,World,2013,57,63,128,131
Atemoya,World,2010,46,48,72,77
Atemoya,World,2011,40,44,71,76
Atemoya,World,2012,45,48,75,79
Atemoya,World,2013,46,46,78,82
Avocado,World,2010,73,75,113,113
Avocado,World,2011,74,83,110,112
Avocado,World,2012,80,83,114,116
Avocado,World,2013,86,92,118,122
Azarole,World,2010,129,131,170,174
Azarole,World,2011,135,137,169,171
Azarole,World,2012,135,136,175,176
Azarole,World,2013,136,137,174,177
Babaco,World,2010,129,131,170,174
Babaco,World,2011,135,137,169,171
Babaco,World,2012,135,136,175,176
Babaco,World,2013,136,137,174,177
Badian,World,2010,94,101,152,162
Badian,World,2011,99,102,154,161
Badian,World,2012,101,107,156,163
Badian,World,2013,101,104,158,165
Bambara bean,World,2010,NA,NA,NA,NA
Bambara bean,World,2011,NA,NA,NA,NA
Bambara bean,World,2012,17,17,20,23
Bambara bean,World,2013,23,23,28,29
Bamboo shoot,World,2010,147,146,185,186
Bamboo shoot,World,2011,153,153,186,187
Bamboo shoot,World,2012,145,146,181,181
Bamboo shoot,World,2013,149,148,186,189
Bananas,World,2010,112,112,140,137
Bananas,World,2011,113,114,141,145
Bananas,World,2012,109,108,140,143
Bananas,World,2013,112,110,144,144
Barley,World,2010,149,151,197,198
Barley,World,2011,150,150,197,197
Barley,World,2012,148,147,198,198
Barley,World,2013,150,150,199,199
Bay leaf,World,2010,131,145,188,191
Bay leaf,World,2011,134,143,188,189
Bay leaf,World,2012,139,145,190,191
Bay leaf,World,2013,140,144,191,191
Beech nut,World,2010,100,103,143,147
Beech nut,World,2011,101,103,149,151
Beech nut,World,2012,100,103,148,154
Beech nut,World,2013,106,107,154,162
Beets,World,2010,49,49,70,69
