crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Abaca,World,2013,NA,NA,NA,NA
Abaca,World,2012,NA,NA,NA,NA
Abaca,World,2010,NA,NA,NA,NA
Abaca,World,2011,NA,NA,NA,NA
Adlay,World,2010,91,121,152,133
Adlay,World,2011,91,122,151,134
Adlay,World,2012,100,118,153,135
Adlay,World,2013,103,123,152,136
Adzuki bean,World,2010,135,145,152,151
Adzuki bean,World,2011,134,142,151,149
Adzuki bean,World,2012,133,142,152,149
Adzuki bean,World,2013,134,144,151,149
Agave,World,2010,NA,NA,NA,NA
Agave,World,2011,NA,NA,NA,NA
Agave,World,2012,NA,NA,NA,NA
Agave,World,2013,NA,NA,NA,NA
Albardine,World,2010,NA,NA,NA,NA
Albardine,World,2011,NA,NA,NA,NA
Albardine,World,2012,NA,NA,NA,NA
Albardine,World,2013,NA,NA,NA,NA
Alfalfa,World,2010,NA,NA,NA,NA
Alfalfa,World,2011,NA,NA,NA,NA
Alfalfa,World,2013,NA,NA,NA,NA
Alfalfa,World,2012,NA,NA,NA,NA
Allspice,World,2010,114,92,133,111
Allspice,World,2011,119,97,138,116
Allspice,World,2012,118,97,132,113
Allspice,World,2013,121,95,138,115
Almonds,World,2010,166,152,168,159
Almonds,World,2011,167,153,168,157
Almonds,World,2012,167,155,170,160
Almonds,World,2013,167,157,170,161
Amaranth,World,2010,91,121,152,133
Amaranth,World,2011,91,122,151,134
Amaranth,World,2012,100,118,153,135
Amaranth,World,2013,103,123,152,136
Anise,World,2010,158,139,167,157
Anise,World,2011,161,140,166,158
Anise,World,2012,160,144,167,155
Anise,World,2013,160,143,167,159
Apple,World,2010,128,142,174,121
Apple,World,2011,128,143,173,122
Apple,World,2012,129,142,173,123
Apple,World,2013,129,144,173,120
Apricot,World,2010,176,176,176,176
Apricot,World,2011,175,175,175,175
Apricot,World,2012,175,175,175,175
Apricot,World,2013,175,175,175,175
Areca nuts,World,2010,166,152,168,159
Areca nuts,World,2011,167,153,168,157
Areca nuts,World,2012,167,155,170,160
Areca nuts,World,2013,167,157,170,161
Arracacha,World,2010,62,83,107,87
Arracacha,World,2011,64,82,109,86
Arracacha,World,2012,64,88,118,90
Arracacha,World,2013,65,87,122,90
Arrhenatherum,World,2010,NA,NA,NA,NA
Arrhenatherum,World,2011,NA,NA,NA,NA
Arrhenatherum,World,2012,NA,NA,NA,NA
Arrhenatherum,World,2013,NA,NA,NA,NA
Arrowroot,World,2010,62,83,107,87
Arrowroot,World,2011,64,82,109,86
Arrowroot,World,2012,64,88,118,90
Arrowroot,World,2013,65,87,122,90
Artichokes,World,2010,176,176,176,176
Artichokes,World,2011,175,175,175,175
Artichokes,World,2012,175,175,175,175
Artichokes,World,2013,175,175,175,175
Asparagus,World,2010,176,176,176,176
Asparagus,World,2011,175,175,175,175
Asparagus,World,2012,175,175,175,175
Asparagus,World,2013,175,175,175,175
Atemoya,World,2010,176,176,176,176
Atemoya,World,2011,175,175,175,175
Atemoya,World,2012,175,175,175,175
Atemoya,World,2013,175,175,175,175
Avocado,World,2010,176,176,176,176
Avocado,World,2011,175,175,175,175
Avocado,World,2012,175,175,175,175
Avocado,World,2013,175,175,175,175
Azarole,World,2010,176,176,176,176
Azarole,World,2011,175,175,175,175
Azarole,World,2012,175,175,175,175
Azarole,World,2013,175,175,175,175
Babaco,World,2010,176,176,176,176
Babaco,World,2011,175,175,175,175
Babaco,World,2012,175,175,175,175
Babaco,World,2013,175,175,175,175
Badian,World,2010,158,139,167,157
Badian,World,2011,161,140,166,158
Badian,World,2012,160,144,167,155
Badian,World,2013,160,143,167,159
Bambara bean,World,2010,140,143,164,158
Bambara bean,World,2011,138,144,163,157
Bambara bean,World,2012,140,145,163,158
Bambara bean,World,2013,142,147,164,159
Bamboo shoot,World,2010,176,176,176,176
Bamboo shoot,World,2011,175,175,175,175
Bamboo shoot,World,2012,175,175,175,175
Bamboo shoot,World,2013,175,175,175,175
Bananas,World,2010,149,158,165,160
Bananas,World,2011,151,159,166,159
Bananas,World,2012,149,158,166,160
Bananas,World,2013,151,159,167,161
Barley,World,2010,69,96,125,106
Barley,World,2011,70,98,123,104
Barley,World,2012,72,99,126,109
Barley,World,2013,74,94,124,105
Bay leaf,World,2010,158,139,167,157
Bay leaf,World,2011,161,140,166,158
Bay leaf,World,2012,160,144,167,155
Bay leaf,World,2013,160,143,167,159
Beech nut,World,2010,61,44,70,59
Beech nut,World,2011,65,43,75,59
Beech nut,World,2012,66,43,78,59
Beech nut,World,2013,73,42,83,64
Beets,World,2010,176,176,176,176
Beets,World,2011,175,175,175,175
Beets,World,2012,175,175,175,175
Beets,World,2013,175,175,175,175
Black gram,World,2010,135,145,152,151
Black gram,World,2011,134,142,151,149
Black gram,World,2012,133,142,152,149
Black gram,World,2013,134,144,151,149
Black salsify,World,2010,176,176,176,176
Black salsify,World,2011,175,175,175,175
Black salsify,World,2012,175,175,175,175
Black salsify,World,2013,175,175,175,175
Blueberry,World,2010,176,176,176,176
Blueberry,World,2011,175,175,175,175
Blueberry,World,2012,175,175,175,175
Blueberry,World,2013,175,175,175,175
Brazil nut,World,2010,166,152,168,159
Brazil nut,World,2011,167,153,168,157
Brazil nut,World,2012,167,155,170,160
Brazil nut,World,2013,167,157,170,161
Breadfruit,World,2010,176,176,176,176
Breadfruit,World,2011,175,175,175,175
Breadfruit,World,2012,175,175,175,175
Breadfruit,World,2013,175,175,175,175
Buckwheat,World,2010,91,121,152,133
Buckwheat,World,2011,91,122,151,134
Buckwheat,World,2012,100,118,153,135
Buckwheat,World,2013,103,123,152,136
Butter-nut,World,2010,166,152,168,159
Butter-nut,World,2011,167,153,168,157
Butter-nut,World,2012,167,155,170,160
Butter-nut,World,2013,167,157,170,161
Butternut squash,World,2010,176,176,176,176
Butternut squash,World,2011,175,175,175,175
Butternut squash,World,2012,175,175,175,175
Butternut squash,World,2013,175,175,175,175
Cabbages,World,2010,176,176,176,176
Cabbages,World,2011,175,175,175,175
Cabbages,World,2012,175,175,175,175
Cabbages,World,2013,175,175,175,175
Cabbages and other brassicas,World,2010,176,176,176,176
Cabbages and other brassicas,World,2011,175,175,175,175
Cabbages and other brassicas,World,2012,175,175,175,175
Cabbages and other brassicas,World,2013,175,175,175,175
Caesarweed,World,2010,NA,NA,NA,NA
Caesarweed,World,2011,NA,NA,NA,NA
Caesarweed,World,2012,NA,NA,NA,NA
Caesarweed,World,2013,NA,NA,NA,NA
Cainito,World,2010,176,176,176,176
Cainito,World,2011,175,175,175,175
Cainito,World,2012,175,175,175,175
Cainito,World,2013,175,175,175,175
Calabash,World,2010,176,176,176,176
Calabash,World,2011,175,175,175,175
Calabash,World,2012,175,175,175,175
