crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_food_supply_quantity_kg,fs_food_supply_quantity_t,fs_protein_supply_quantity
Abaca,World,2010,NA,NA,NA,NA,NA,NA
Abaca,World,2011,NA,NA,NA,NA,NA,NA
Abaca,World,2012,NA,NA,NA,NA,NA,NA
Abaca,World,2013,NA,NA,NA,NA,NA,NA
Adlay,World,2010,0.001356164,0.406849314,0.143753424,0.052212329,354948.7011,0.012205479
Adlay,World,2011,0.001356164,0.474657533,0.147143835,0.053568493,367905.2386,0.012205479
Adlay,World,2012,0.001356164,0.406849314,0.139684931,0.050856164,352383.367,0.011527397
Adlay,World,2013,0.001356164,0.406849314,0.141719178,0.051534246,361125.3647,0.012205479
Adzuki bean,World,2010,0.11,24,7.22,2.64,17848377.17,1.56
Adzuki bean,World,2011,0.1,24,7.05,2.57,17626823.54,1.52
Adzuki bean,World,2012,0.1,23,6.78,2.47,17122804.78,1.46
Adzuki bean,World,2013,0.1,23,6.82,2.49,17416335.39,1.47
Agave,World,2010,NA,NA,NA,NA,NA,NA
Agave,World,2011,NA,NA,NA,NA,NA,NA
Agave,World,2012,NA,NA,NA,NA,NA,NA
Agave,World,2013,NA,NA,NA,NA,NA,NA
Albardine,World,2010,NA,NA,NA,NA,NA,NA
Albardine,World,2011,NA,NA,NA,NA,NA,NA
Albardine,World,2012,NA,NA,NA,NA,NA,NA
Albardine,World,2013,NA,NA,NA,NA,NA,NA
Alfalfa,World,2010,NA,NA,NA,NA,NA,NA
Alfalfa,World,2011,NA,NA,NA,NA,NA,NA
Alfalfa,World,2012,NA,NA,NA,NA,NA,NA
Alfalfa,World,2013,NA,NA,NA,NA,NA,NA
Allspice,World,2010,0.15,3,1.18,0.43,2909211,0.14
Allspice,World,2011,0.16,4,1.23,0.45,3066899,0.15
Allspice,World,2012,0.15,4,1.21,0.44,3058522,0.15
Allspice,World,2013,0.16,4,1.23,0.45,3148947,0.15
Almonds,World,2010,0.161403509,2.105263155,0.84491228,0.308771929,2088370.766,0.056140351
Almonds,World,2011,0.174035087,2.245614032,0.88982456,0.324210526,2223434.975,0.058947368
Almonds,World,2012,0.172631579,2.245614032,0.896842104,0.327017543,2266481.799,0.058947368
Almonds,World,2013,0.174035087,2.245614032,0.90105263,0.328421052,2302940.275,0.060350877
Amaranth,World,2010,0.001356164,0.406849314,0.143753424,0.052212329,354948.7011,0.012205479
Amaranth,World,2011,0.001356164,0.474657533,0.147143835,0.053568493,367905.2386,0.012205479
Amaranth,World,2012,0.001356164,0.406849314,0.139684931,0.050856164,352383.367,0.011527397
Amaranth,World,2013,0.001356164,0.406849314,0.141719178,0.051534246,361125.3647,0.012205479
Anise,World,2010,0.033426184,1.253481894,0.376044568,0.137883008,927842.7575,0.039693593
Anise,World,2011,0.039693593,1.462395543,0.436629526,0.158774373,1090114.554,0.048050139
Anise,World,2012,0.039693593,1.462395543,0.426183844,0.1545961,1074968.941,0.045961003
Anise,World,2013,0.037604457,1.462395543,0.417827298,0.152506964,1069667.549,0.045961003
Apple,World,2010,0.05,10,25.05,9.14,61901248.38,0.06
Apple,World,2011,0.06,11,25.71,9.38,64262909.13,0.06
Apple,World,2012,0.06,11,26.99,9.85,68150624.65,0.07
Apple,World,2013,0.06,12,27.67,10.1,70666583.1,0.07
Apricot,World,2010,0.014457678,1.226712032,2.889783058,1.054972348,7141879.315,0.014895789
Apricot,World,2011,0.014895789,1.270523176,2.982662684,1.088706928,7455064,0.0153339
Apricot,World,2012,0.0153339,1.31433432,3.082552092,1.125070178,7784733.091,0.015772012
Apricot,World,2013,0.015772012,1.358145464,3.181565277,1.161433427,8126037.157,0.016210123
Areca nuts,World,2010,0.050438596,0.657894735,0.264035087,0.096491228,652615.8635,0.01754386
Areca nuts,World,2011,0.054385965,0.701754384,0.278070175,0.101315789,694823.4288,0.018421053
Areca nuts,World,2012,0.053947368,0.701754384,0.280263157,0.102192982,708275.5612,0.018421053
Areca nuts,World,2013,0.054385965,0.701754384,0.281578947,0.102631579,719668.8348,0.018859649
Arracacha,World,2010,0.000533632,0.320179374,0.273219732,0.099789238,675754.8505,0.004269058
Arracacha,World,2011,0.000533632,0.320179374,0.281757849,0.102991032,703908.5734,0.004269058
Arracacha,World,2012,0.000533632,0.320179374,0.292430495,0.106726458,738572.795,0.004269058
Arracacha,World,2013,0.000533632,0.320179374,0.294031392,0.10726009,750709.8991,0.004269058
Arrhenatherum,World,2010,NA,NA,NA,NA,NA,NA
Arrhenatherum,World,2011,NA,NA,NA,NA,NA,NA
Arrhenatherum,World,2012,NA,NA,NA,NA,NA,NA
Arrhenatherum,World,2013,NA,NA,NA,NA,NA,NA
Arrowroot,World,2010,0.000533632,0.320179374,0.273219732,0.099789238,675754.8505,0.004269058
Arrowroot,World,2011,0.000533632,0.320179374,0.281757849,0.102991032,703908.5734,0.004269058
Arrowroot,World,2012,0.000533632,0.320179374,0.292430495,0.106726458,738572.795,0.004269058
Arrowroot,World,2013,0.000533632,0.320179374,0.294031392,0.10726009,750709.8991,0.004269058
Artichokes,World,2010,0.017751147,2.13615499,8.534691352,3.115175883,21092522.82,0.114028555
