crop,taxa
Okra,Abelmoschus esculentus
Slippery cabbage,Abelmoschus manihot
Devil's cotton,Abroma augustum
Velvet leaf,Abutilon theophrasti
Feijoa,Acca sellowiana
Maple sugar,Acer saccharum
Kiwi fruit,Actinidea deliciosa
Kiwi fruit,Actinidia arguta
Kiwi fruit,Actinidia chinensis
Aeschynomene,Aeschynomene americana
Agave,Agave americana
Agave,Agave cantala
Agave,Agave foetida
Agave,Agave fourcroydes
Agave,Agave lecheguilla
Agave,Agave letonae
Sisal,Agave sisalana
Agropyron,Agropyron cristatum
Agropyron,Agropyron desertorum
Agrostis,Agrostis capillaris
Agrostis,Agrostis stolonifera
Agrostis,Agrostis tenuis
Tung nuts,Aleurites fordii
Tung nuts,Aleurites fordii
Candlenut,Aleurites moluccanus
Onions,Allium cepa
Leeks and other alliaceous vegetables,Allium porrum
Garlic,Allium sativum
Leeks and other alliaceous vegetables,Allium schoenoprasum
Alopecurus,Alopecurus pratensis
Alysicarpus,Alysicarpus rugosus
Alysicarpus,Alysicarpus vaginalis
Amaranth,Amaranthus blitum
Kiwicha,Amaranthus caudatus
Amaranth,Amaranthus cruentus
Amaranth,Amaranthus cruentus
Amaranth,Amaranthus dubius
Amaranth,Amaranthus hypochondriacus
Amaranth,Amaranthus tricolor
Cardamoms,Amomum subulatum
Cashews,Anacardium occidentale
Pineapples,Ananas comosus
Andropogon,Andropogon gayanus
Dill,Anethum graveolens
Cherimoya,Annona cherimola
Soursop,Annona muricata
Custard apple,Annona reticulata
Sugar apple,Annona squamosa
Atemoya,Annona xcherimola
Chervil,Anthriscus cerefolium
Celery,Apium graveolens
Groundnuts,Arachis hypogaea
Strawberry tree,Arbutus unedo
Areca nuts,Areca catechu
Horseradish,Armoracia rusticana
Arracacha,Arracacia xanthorrhiza
Arrhenatherum,Arrhenatherum elatius
Tarragon,Artemisia dracunculus
Breadfruit,Artocarpus altilis
Jackfruit,Artocarpus heterophyllus
Pawpaw,Asimina triloba
Asparagus,Asparagus officinalis
Astragalus,Astragalus arenarius
Astragalus,Astragalus chinensis
Astragalus,Astragalus cicer
Chontadura,Astrocaryum standleyanum
Atriplex,Atriplex halimus
Orache,Atriplex hortensis
Atriplex,Atriplex nummularia
Orache,Atriplex patula
Oats,Avena sativa
Carambola,Averrhoa carambola
Bamboo shoot,Bambusa vulgaris
Malabar spinach,Basella alba
Malabar spinach,Basella rubra
Wax gourd,Benincasa hispida
Brazil nut,Bertholletia excelsa
Beets,Beta vulgaris
Sugar beets,Beta vulgaris
Annato,Bixa orellana
Ackee,Blighia sapida
Ramie,Boehmeria nivea
Brachiaria,Brachiaria brizantha
Brachiaria,Brachiaria humidicola
Brachiaria,Brachiaria ruziziensis
Rapeseed and mustards,Brassica alba
Cabbages and other brassicas,Brassica carinata
Ethiopian rape,Brassica carinata
Cabbages and other brassicas,Brassica juncea
Canola,Brassica juncea
Cabbages and other brassicas,Brassica napus
Rapeseed and Mustards,Brassica napus
Rapeseed and mustards,Brassica nigra
Cabbages,Brassica oleracea
Cabbages and other brassicas,Brassica oleracea
Cabbages and other brassicas,Brassica rapa
Rapeseed and Mustards,Brassica rapa
Turnips,Brassica rapa
Pigeonpeas,Cajanus cajan
Calopogonium,Calopogonium caeruleum
Calopogonium,Calopogonium mucunoides
Tea,Camellia sinensis
Pili nut,Canarium harveyi
Pili nut,Canarium indicum
Pili nut,Canarium ovatum
Jack bean,Canavalia ensiformis
Sword bean,Canavalia gladiata
Achira,Canna edulis
Achira,Canna indica
Hemp,Cannabis sativa
Capers,Capparis spinosa
Chillies and peppers,Capsicum annuum
Chillies and peppers,Capsicum baccatum
Chillies and peppers,Capsicum chinense
Chillies and peppers,Capsicum frutescens
Chillies and peppers,Capsicum pubescens
Carapa,Carapa guianensis
Papayas,Carica papaya
Babaco,Carica pentagona
Safflower,Carthamus tinctorius
Caraway,Carum carvi
Pecan,Carya illinoinensis
Butter-nut,Caryocar nuciferum
Chestnuts,Castanea sativa
Kapok,Ceiba pentandra
Pearl millet,Cenchrus americanus
Centrosema,Centrosema pubescens
Carobs,Ceratonia siliqua
Kaniwa,Chenopodium pallidicaule
Quinoa,Chenopodium quinoa
Pyrethrum,Chrysanthemum cinerariifolium
Cainito,Chrysophyllum cainito
Chickpeas,Cicer arietinum
Chicory,Cichorium endivia
Chicory,Cichorium intybus
Cinnamon,Cinnamomum cassia
Cinnamon,Cinnamomum verum
Watermelons,Citrullus lanatus
Watermelons,Citrullus vulgaris
