name,country,id_country
Afghanistan,Afghanistan,1
Albania,Albania,2
Algeria,Algeria,3
American Samoa,American Samoa,4
Angola,Angola,5
Antigua and Barbuda,Antigua and Barbuda,6
Argentina,Argentina,7
Armenia,Armenia,8
Aruba,Aruba,9
Australia,Australia,10
Austria,Austria,11
Azerbaijan,Azerbaijan,12
Bahamas,Bahamas,13
Bahrain,Bahrain,14
Bangladesh,Bangladesh,15
Barbados,Barbados,16
Belarus,Belarus,17
Belgium,Belgium,18
Belgium-Luxembourg,Belgium-Luxembourg,19
Belize,Belize,20
Benin,Benin,21
Bermuda,Bermuda,22
Bhutan,Bhutan,23
Bolivia (Plurinational State of),Bolivia (Plurinational State of),24
Bosnia and Herzegovina,Bosnia and Herzegovina,25
Botswana,Botswana,26
Brazil,Brazil,27
British Virgin Islands,British Virgin Islands,28
Brunei Darussalam,Brunei Darussalam,29
Bulgaria,Bulgaria,30
Burkina Faso,Burkina Faso,31
Burundi,Burundi,32
Cabo Verde,Cabo Verde,33
Cambodia,Cambodia,34
Cameroon,Cameroon,35
Canada,Canada,36
Cayman Islands,Cayman Islands,37
Central African Republic,Central African Republic,38
Chad,Chad,39
Chile,Chile,40
China,China,41
"China, Hong Kong SAR","China, Hong Kong SAR",42
"China, Macao SAR","China, Macao SAR",43
"China, mainland","China, mainland",44
"China, Taiwan Province of","China, Taiwan Province of",45
Colombia,Colombia,46
Comoros,Comoros,47
Congo,Congo,48
Cook Islands,Cook Islands,49
Costa Rica,Costa Rica,50
Côte d'Ivoire,Côte d'Ivoire,51
Croatia,Croatia,52
Cuba,Cuba,53
Cyprus,Cyprus,54
Czechia,Czechia,55
Czechoslovakia,Czechoslovakia,56
Democratic People's Republic of Korea,Democratic People's Republic of Korea,57
Democratic Republic of the Congo,Democratic Republic of the Congo,58
Denmark,Denmark,59
Djibouti,Djibouti,60
Dominica,Dominica,61
Dominican Republic,Dominican Republic,62
Ecuador,Ecuador,63
Egypt,Egypt,64
El Salvador,El Salvador,65
Equatorial Guinea,Equatorial Guinea,66
Eritrea,Eritrea,67
Estonia,Estonia,68
Eswatini,Eswatini,69
Ethiopia,Ethiopia,70
Ethiopia PDR,Ethiopia PDR,71
Falkland Islands (Malvinas),Falkland Islands (Malvinas),72
Faroe Islands,Faroe Islands,73
Fiji,Fiji,74
Finland,Finland,75
France,France,76
French Guiana,French Guiana,77
French Polynesia,French Polynesia,78
Gabon,Gabon,79
Gambia,Gambia,80
Georgia,Georgia,81
Germany,Germany,82
Ghana,Ghana,83
Greece,Greece,84
Greenland,Greenland,85
Grenada,Grenada,86
Guadeloupe,Guadeloupe,87
Guam,Guam,88
Guatemala,Guatemala,89
Guinea,Guinea,90
Guinea-Bissau,Guinea-Bissau,91
Guyana,Guyana,92
Haiti,Haiti,93
Honduras,Honduras,94
Hungary,Hungary,95
Iceland,Iceland,96
India,India,97
Indonesia,Indonesia,98
Iran (Islamic Republic of),Iran (Islamic Republic of),99
Iraq,Iraq,100
Ireland,Ireland,101
Israel,Israel,102
Italy,Italy,103
Jamaica,Jamaica,104
Japan,Japan,105
Jordan,Jordan,106
Kazakhstan,Kazakhstan,107
Kenya,Kenya,108
Kiribati,Kiribati,109
Kuwait,Kuwait,110
Kyrgyzstan,Kyrgyzstan,111
Lao People's Democratic Republic,Lao People's Democratic Republic,112
Latvia,Latvia,113
Lebanon,Lebanon,114
Lesotho,Lesotho,115
Liberia,Liberia,116
Libya,Libya,117
Liechtenstein,Liechtenstein,118
Lithuania,Lithuania,119
Luxembourg,Luxembourg,120
Madagascar,Madagascar,121
Malawi,Malawi,122
Malaysia,Malaysia,123
Maldives,Maldives,124
Mali,Mali,125
Malta,Malta,126
Marshall Islands,Marshall Islands,127
Martinique,Martinique,128
Mauritania,Mauritania,129
Mauritius,Mauritius,130
Mexico,Mexico,131
Micronesia (Federated States of),Micronesia (Federated States of),132
Mongolia,Mongolia,133
Montenegro,Montenegro,134
Montserrat,Montserrat,135
Morocco,Morocco,136
Mozambique,Mozambique,137
Myanmar,Myanmar,138
Namibia,Namibia,139
Nauru,Nauru,140
Nepal,Nepal,141
Netherlands,Netherlands,142
Netherlands Antilles (former),Netherlands Antilles (former),143
New Caledonia,New Caledonia,144
New Zealand,New Zealand,145
Nicaragua,Nicaragua,146
Niger,Niger,147
Nigeria,Nigeria,148
Niue,Niue,149
Norfolk Island,Norfolk Island,150
Norway,Norway,151
Occupied Palestinian Territory,Occupied Palestinian Territory,152
Oman,Oman,153
Pacific Islands Trust Territory,Pacific Islands Trust Territory,154
Pakistan,Pakistan,155
Panama,Panama,156
Papua New Guinea,Papua New Guinea,157
Paraguay,Paraguay,158
Peru,Peru,159
Philippines,Philippines,160
Poland,Poland,161
Portugal,Portugal,162
Puerto Rico,Puerto Rico,163
Qatar,Qatar,164
Republic of Korea,Republic of Korea,165
Republic of Moldova,Republic of Moldova,166
Réunion,Réunion,167
Romania,Romania,168
Russian Federation,Russian Federation,169
Rwanda,Rwanda,170
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",171
Saint Kitts and Nevis,Saint Kitts and Nevis,172
Saint Lucia,Saint Lucia,173
Saint Pierre and Miquelon,Saint Pierre and Miquelon,174
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,175
Samoa,Samoa,176
Sao Tome and Principe,Sao Tome and Principe,177
Saudi Arabia,Saudi Arabia,178
Senegal,Senegal,179
Serbia,Serbia,180
Serbia and Montenegro,Serbia and Montenegro,181
Seychelles,Seychelles,182
Sierra Leone,Sierra Leone,183
Singapore,Singapore,184
Slovakia,Slovakia,185
Slovenia,Slovenia,186
Solomon Islands,Solomon Islands,187
Somalia,Somalia,188
South Africa,South Africa,189
South Sudan,South Sudan,190
Spain,Spain,191
Sri Lanka,Sri Lanka,192
Sudan,Sudan,193
Sudan (former),Sudan (former),194
Suriname,Suriname,195
Swaziland,Swaziland,196
Sweden,Sweden,197
Switzerland,Switzerland,198
Syrian Arab Republic,Syrian Arab Republic,199
Tajikistan,Tajikistan,200
Thailand,Thailand,201
The former Yugoslav Republic of Macedonia,The former Yugoslav Republic of Macedonia,202
Timor-Leste,Timor-Leste,203
Togo,Togo,204
Tokelau,Tokelau,205
Tonga,Tonga,206
Trinidad and Tobago,Trinidad and Tobago,207
Tunisia,Tunisia,208
Turkey,Turkey,209
Turkmenistan,Turkmenistan,210
Tuvalu,Tuvalu,211
Uganda,Uganda,212
Ukraine,Ukraine,213
United Arab Emirates,United Arab Emirates,214
United Kingdom,United Kingdom,215
United Republic of Tanzania,United Republic of Tanzania,216
United States of America,United States of America,217
United States Virgin Islands,United States Virgin Islands,218
Uruguay,Uruguay,219
USSR,USSR,220
Uzbekistan,Uzbekistan,221
Vanuatu,Vanuatu,222
Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),223
Viet Nam,Viet Nam,224
Wallis and Futuna Islands,Wallis and Futuna Islands,225
Western Sahara,Western Sahara,226
Yemen,Yemen,227
Yugoslav SFR,Yugoslav SFR,228
Zambia,Zambia,229
Zimbabwe,Zimbabwe,230
Africa,Africa,231
Americas,Americas,232
Asia,Asia,233
Australia & New Zealand,Australia & New Zealand,234
Caribbean,Caribbean,235
Central America,Central America,236
Central Asia,Central Asia,237
Eastern Africa,Eastern Africa,238
Eastern Asia,Eastern Asia,239
Eastern Europe,Eastern Europe,240
EU(12)ex.int,EU(12)ex.int,241
EU(15)ex.int,EU(15)ex.int,242
EU(25)ex.int,EU(25)ex.int,243
EU(27)ex.int,EU(27)ex.int,244
Europe,Europe,245
European Union,European Union,246
European Union (exc intra-trade),European Union (exc intra-trade),247
Land Locked Developing Countries,Land Locked Developing Countries,248
Least Developed Countries,Least Developed Countries,249
Low Income Food Deficit Countries,Low Income Food Deficit Countries,250
Melanesia,Melanesia,251
Micronesia,Micronesia,252
Middle Africa,Middle Africa,253
Net Food Importing Developing Countries,Net Food Importing Developing Countries,254
Northern Africa,Northern Africa,255
Northern America,Northern America,256
Northern Europe,Northern Europe,257
Oceania,Oceania,258
Polynesia,Polynesia,259
Small Island Developing States,Small Island Developing States,260
South America,South America,261
South-Eastern Asia,South-Eastern Asia,262
Southern Africa,Southern Africa,263
Southern Asia,Southern Asia,264
Southern Europe,Southern Europe,265
Western Africa,Western Africa,266
Western Asia,Western Asia,267
Western Europe,Western Europe,268
World,World,269
